id	filename	md5	size	state
db852802-4d7c-4092-85a3-522814a82d00	jhu-usc.edu_GBM.HumanMethylation450.6.lvl-3.TCGA-32-5222-01A-01D-1481-05.gdc_hg38.txt	9f7d375c618ae7742496ddcdb029425f	141289717	released
8992f9b6-23fe-4829-901c-9eac5e2e6777	jhu-usc.edu_GBM.HumanMethylation450.6.lvl-3.TCGA-12-5299-01A-02D-1481-05.gdc_hg38.txt	2285826bd48f4ba260178618290284d1	141286667	released
3b1906af-f54c-46f5-bbe7-1ca7e0ed20ff	jhu-usc.edu_GBM.HumanMethylation450.6.lvl-3.TCGA-28-5209-01A-01D-1481-05.gdc_hg38.txt	67463bd757f42a20c0ab3b9a142d9e77	141287841	released
0b7fff98-d763-486d-ad26-521db6846818	jhu-usc.edu_GBM.HumanMethylation450.6.lvl-3.TCGA-26-5135-01A-01D-1481-05.gdc_hg38.txt	c7195b05f5b73166bf3e0a6d6d41aea1	141295054	released
6791cb68-31cd-4287-ad91-8257de090f1d	jhu-usc.edu_GBM.HumanMethylation450.8.lvl-3.TCGA-74-6575-01A-11D-1844-05.gdc_hg38.txt	53eb9f938f00db1bfff2fc0fbf6b4304	141282065	released
d103afa6-6a2f-4da4-ad6a-b2a88168965d	jhu-usc.edu_GBM.HumanMethylation450.8.lvl-3.TCGA-76-6663-01A-11D-1844-05.gdc_hg38.txt	ba722e6f3ea52f6456fd2b2a8a719dd3	141275288	released
059430b2-0e1a-4d30-b809-0b2885cb185b	jhu-usc.edu_GBM.HumanMethylation450.6.lvl-3.TCGA-76-4932-01A-01D-1481-05.gdc_hg38.txt	0ba8ee2a9c13933df8eac47069db8ba6	141284607	released
047555b4-8210-4696-aa45-dbff912e7fe0	jhu-usc.edu_GBM.HumanMethylation450.8.lvl-3.TCGA-14-1395-01B-11D-1844-05.gdc_hg38.txt	705113ebb2cd558201032f825701e967	141292546	released
0de95b52-0a4a-4e56-bf4c-182de832381a	jhu-usc.edu_GBM.HumanMethylation450.8.lvl-3.TCGA-26-6174-01A-21D-1844-05.gdc_hg38.txt	6adfad3c63ad271dd9f19f76ab9c8572	141280614	released
5c3e021e-cb23-439f-b917-8d284b96db76	jhu-usc.edu_GBM.HumanMethylation450.6.lvl-3.TCGA-06-5418-01A-01D-1481-05.gdc_hg38.txt	1f11d1ec4b90f0c72f173f357e9a740d	141295466	released
3f89f910-9a9f-44db-bdf3-6ea53221f425	jhu-usc.edu_GBM.HumanMethylation450.8.lvl-3.TCGA-76-6662-01A-11D-1844-05.gdc_hg38.txt	8fdf32c46eb08c84f49fe5fd2987de53	141283896	released
6df90750-2d62-4fb7-96b5-09d8fda31fb9	jhu-usc.edu_GBM.HumanMethylation450.7.lvl-3.TCGA-76-6192-01A-11D-1697-05.gdc_hg38.txt	4caba2f5f192c7edf8b9946041bcfa39	141296734	released
a6a45ca1-67d3-4cca-bcc6-e3c9d3461249	jhu-usc.edu_GBM.HumanMethylation450.10.lvl-3.TCGA-OX-A56R-01A-11D-A33U-05.gdc_hg38.txt	711c92402ba517ce32c886755347ccfa	141295536	released
e5d73584-9626-47dc-8880-1f0feb224fe5	jhu-usc.edu_GBM.HumanMethylation450.12.lvl-3.TCGA-4W-AA9T-01A-11D-A392-05.gdc_hg38.txt	601edd8f9c85de37af10f3b7d9716ec5	141279801	released
8c8d55a5-bbff-4474-9b9f-c8b3591d0a6d	jhu-usc.edu_GBM.HumanMethylation450.8.lvl-3.TCGA-76-6656-01A-11D-1844-05.gdc_hg38.txt	7260e7029bb3acce53884c2fd8b8f3cf	141284137	released
8a5895d4-3f61-4054-870e-647dd7bc20ac	jhu-usc.edu_GBM.HumanMethylation450.7.lvl-3.TCGA-19-5952-01A-11D-1697-05.gdc_hg38.txt	99e00e6ecbf86a259ca5e1487942d865	141302521	released
b3b3e8c7-1367-47ab-aba1-c1a88659752a	jhu-usc.edu_GBM.HumanMethylation450.8.lvl-3.TCGA-76-6661-01B-11D-1844-05.gdc_hg38.txt	797ca63ce182f7ac515ed227d192a566	141283038	released
7984db50-3927-43ff-8111-bed58c5001b5	jhu-usc.edu_GBM.HumanMethylation450.10.lvl-3.TCGA-06-A5U1-01A-11D-A33U-05.gdc_hg38.txt	08e16b126aac0da5b50185467273a3df	141269237	released
81ddd352-ae18-4da5-86ad-c79d31f53f1b	jhu-usc.edu_GBM.HumanMethylation450.8.lvl-3.TCGA-26-6173-01A-11D-1844-05.gdc_hg38.txt	8ac5d50e75927e32fa216987848e9441	141289072	released
07a6efa7-c834-471b-a7f4-be6353f84aec	jhu-usc.edu_GBM.HumanMethylation450.2.lvl-3.TCGA-06-0221-01A-01D-A45W-05.gdc_hg38.txt	16538ab30fa6d021d3405e8c55cb74e6	141282858	released
23eb1acb-e532-4a40-b45d-fc00784241f2	jhu-usc.edu_GBM.HumanMethylation450.12.lvl-3.TCGA-26-A7UX-01B-11D-A392-05.gdc_hg38.txt	d63e2bec4e812f9805b4b65f31f97f4f	141318977	released
1d574a8d-1277-4f64-8f04-d8e5297b94ab	jhu-usc.edu_GBM.HumanMethylation450.7.lvl-3.TCGA-06-5856-01A-01D-1697-05.gdc_hg38.txt	7850e7c4c4fd93b31ce8da40a63d5805	141292403	released
b77903c5-1713-4ba4-bcf1-04be876b8d3f	jhu-usc.edu_GBM.HumanMethylation450.8.lvl-3.TCGA-74-6573-11A-02D-1844-05.gdc_hg38.txt	0c47d837b8331a78815659f314a33b9e	141289137	released
4039443b-7460-4b6f-b1fe-a1f1f748ec1c	jhu-usc.edu_GBM.HumanMethylation450.10.lvl-3.TCGA-06-A5U0-01A-11D-A33U-05.gdc_hg38.txt	a83de4090e9b1494f4b23aa045363b9e	141279835	released
49eb0fed-2df2-40f0-b918-a535747431c8	jhu-usc.edu_GBM.HumanMethylation450.7.lvl-3.TCGA-76-6193-01A-11D-1697-05.gdc_hg38.txt	57a28a97d9722f5a477a0e1f53913eaf	141297011	released
ebaa8edd-4de2-4615-a55b-202ec197db4b	jhu-usc.edu_GBM.HumanMethylation450.7.lvl-3.TCGA-06-5858-01A-01D-1697-05.gdc_hg38.txt	f246b33e6e620223d77e316e3eca6c68	141307740	released
d8296868-fcbd-40c3-9214-9b83822ded50	jhu-usc.edu_GBM.HumanMethylation450.6.lvl-3.TCGA-06-5415-01A-01D-1481-05.gdc_hg38.txt	b9faaefff155bb124647b5df350c33ee	141290022	released
b449bf71-dbca-429f-ae4f-6f2a6b454f22	jhu-usc.edu_GBM.HumanMethylation450.5.lvl-3.TCGA-19-0957-02A-11D-2004-05.gdc_hg38.txt	ad0118f794902744b879616184051c12	141280227	released
71315e7c-7088-4159-abfe-9e81d5b64bdf	jhu-usc.edu_GBM.HumanMethylation450.7.lvl-3.TCGA-32-1980-01A-01D-1697-05.gdc_hg38.txt	2805c831f58800925a5e48d85153648c	141295067	released
3f122900-b127-4e38-a35b-8aeaf9a57231	jhu-usc.edu_GBM.HumanMethylation450.8.lvl-3.TCGA-06-6694-01A-12D-1844-05.gdc_hg38.txt	51696c5cce2aa147d821864e057e30ab	141281787	released
00683c14-1c0a-4d5b-8b95-39db5778e38d	jhu-usc.edu_GBM.HumanMethylation450.7.lvl-3.TCGA-06-5411-01A-01D-1697-05.gdc_hg38.txt	d1b370f4475aa3ca62ca885e9e98f872	141301894	released
0a759b6b-0742-47b7-afa2-be68ed69d8a3	jhu-usc.edu_GBM.HumanMethylation450.7.lvl-3.TCGA-06-5410-01A-01D-1697-05.gdc_hg38.txt	82c30b3096dd4add8f4a68590cf31967	141294390	released
40d3a644-b8bf-425d-9da8-7ec85513f188	jhu-usc.edu_GBM.HumanMethylation450.9.lvl-3.TCGA-19-4065-01A-01D-2004-05.gdc_hg38.txt	bb6a8f8b65ebb0b76b220aad9d523455	141291219	released
3dccf87c-fd84-4e0d-9f91-426ed2e59751	jhu-usc.edu_GBM.HumanMethylation450.7.lvl-3.TCGA-06-5412-01A-01D-1697-05.gdc_hg38.txt	9b187acd470023af040da574fd150242	141289170	released
6e997597-ddcd-45fa-9bd9-6a6c83c9550d	jhu-usc.edu_GBM.HumanMethylation450.8.lvl-3.TCGA-81-5911-01A-12D-1844-05.gdc_hg38.txt	d989a9e7c3bc14c8cc841ff8297c97a5	141290560	released
67732259-a970-48e1-ac48-bac94c7eece3	jhu-usc.edu_GBM.HumanMethylation450.8.lvl-3.TCGA-74-6578-01A-11D-1844-05.gdc_hg38.txt	6857cdecc99502ad4eef18c9af136288	141290212	released
0000c40e-9d45-4446-9dd9-a4676224d0ce	jhu-usc.edu_GBM.HumanMethylation450.7.lvl-3.TCGA-19-5955-01A-11D-1697-05.gdc_hg38.txt	30b8ed83f62dc12e91f75299e0e8336f	141297809	released
996571c5-a7c2-4a72-a36c-6bf705dec1a6	jhu-usc.edu_GBM.HumanMethylation450.8.lvl-3.TCGA-14-0862-01B-01D-1844-05.gdc_hg38.txt	10990f7920ca1979e41a4ca0fbd0a184	141277114	released
84f29080-2327-4a07-955c-a4bf0fc4caab	jhu-usc.edu_GBM.HumanMethylation450.7.lvl-3.TCGA-15-1444-01A-02D-1697-05.gdc_hg38.txt	eb48d970352285f88300edc3fdcf143d	141286512	released
4a2816a5-3ab0-4a8b-b955-444e67633210	jhu-usc.edu_GBM.HumanMethylation450.6.lvl-3.TCGA-26-5136-01B-01D-1481-05.gdc_hg38.txt	b7ef05b42bce9b97a6e4ec3071f86354	141291157	released
d4c53676-888c-408e-bac2-9886e6298de7	jhu-usc.edu_GBM.HumanMethylation450.6.lvl-3.TCGA-06-5416-01A-01D-1481-05.gdc_hg38.txt	4204717224a697e94800cd1f2fc8b3c9	141326745	released
7713f10b-cc4c-4f33-bc10-92f0375717c1	jhu-usc.edu_GBM.HumanMethylation450.6.lvl-3.TCGA-12-5301-01A-01D-1481-05.gdc_hg38.txt	ee1382955a00b3be96c041afc6482106	141303180	released
7fdef01a-9b44-43c3-bd80-6520fd8111d8	jhu-usc.edu_GBM.HumanMethylation450.6.lvl-3.TCGA-76-4929-01A-01D-1481-05.gdc_hg38.txt	af61a68bf3b806105a5ed619597450ca	141292191	released
93befafe-c92b-4afe-b2dd-6a2b76a04af4	jhu-usc.edu_GBM.HumanMethylation450.8.lvl-3.TCGA-06-6695-01A-11D-1844-05.gdc_hg38.txt	f696b274654a52230c84806b1d08d5c0	141283027	released
04b4ed4e-676d-426a-abdf-3f1ed4eefad2	jhu-usc.edu_GBM.HumanMethylation450.8.lvl-3.TCGA-06-1806-01A-02D-1844-05.gdc_hg38.txt	0f64ef70a9f811717fce78da19d5c666	141290054	released
